id;name
1;Ator
3;Administrador do Tabaco
4;Advogado (a)
5;Agenciador
6;Agricultor
7;Ajudante
8;Albardeiro
9;Alcaide
10;Alfaiate
11;Alfandegueiro
12;Alferes 
13;Almirante
14;Almocreve
15;Almoxarife
16;Alquilador
17;Ama
18;Amanuense
19;Anzoleiro
20;Apontador de Obras Públicas
21;Armador
22;Arqueólogo
23;Arrieiro
25;Artista
26;Assistente
27;Bacharel
28;Baleeiro
29;Barbeiro
30;Barqueiro
31;Bibliotecário
32;Botequineiro
33;Boticário
34;Botoeiro
35;Cabaneiro
36;Cabeleireiro (a)
37;Cabo
38;Cabouqueiro
39;Caiador
40;Caixeiro
41;Calafate
42;Calceteiro
43;Caldeireiro
44;Caminheiro
45;Canteiro
46;Cantoneiro
47;Capador
48;Capitalista
49;Capitão
50;Capitão Navios
51;Carcereiro
52;Cardador(a)
53;Carniceiro
55;Carpinteiro
56;Carreiro
57;Carrejão
58;Carteiro
59;Carvoeiro
61;Cascalheiro
62;Cauteleiro
64;Cerieiro
66;Chapeleiro
67;Charameleiro
69;Cirurgião
70;Cocheiro
71;Colchoeiro
72;Comandante Militar
73;Comendador
74;Comerciante
76;Confeiteiro
77;Conselheiro
78;Cônsul
79;Contador
80;Contínuo
82;Contratador(a)
83;Corregedor
84;Correeiro
85;Cortador
86;Costureiro (a)
87;Coveiro (a)
89;Cozinheiro (a)
96;Curtidor
97;Cutileiro
98;Delegado do Procurador Régio
100;Deputado
101;Descarregador
102;Desembargador
103;Despachante da Alfândega
104;Distribuidor da Correição
105;Doceiro
107;Doméstica
109;Educador Infância
110;Empregado do Governo Civil
111;Empregado
112;Empregado Agrícola
114;Empregado de Escritório
115;Empregado de Hotel
118;Empregado Industrial
119;Empregado Têxtil
120;Empregado do Banco
121;Empregado da Fazenda
122;Empregado das Obras Públicas
124;Empregado do Correio
125;Empregado do Notário
126;Empregado na Repartição da Fazenda
127;Empregado na Repartição de obras públicas
128;Empregado nas Docas
129;Encadernador
131;Enfermeiro (a)
133;Engenheiro (a)
134;Engomadeira
135;Engraxador
136;Ensamblador
137;Ermitão
139;Escravo (a)
140;Escrevente
141;Escriturário
142;Escrivão
143;Escrivão da Administração do Concelho 
144;Escrivão da Câmara
145;Escudeiro
146;Escultor
147;Espadeiro
148;Espingardeiro
149;Estalajadeiro
150;Estanqueiro do tabaco
152;Estudante
154;Fabricante
155;Farmacêutico
156;Feitor
157;Ferrador
158;Ferreiro
159;Fiadeiro (a)
160;Fiscal
161;Fogueiro
162;Fogueteiro
163;Forneiro
167;Funcionário do Jornal
168;Funcionário Público
169;Fundidor
170;Funileiro
171;Garfeiro
172;Gaspeador
174;Ginasta
175;Governador Civil
176;Gravador
177;Guarda da Alfândega
178;Guarda da Fazenda Nacional
180;Guarda Fiscal
